id,kind,file,line
app.middleware.tracing.TracingMiddleware,class,app/middleware/tracing.py,163
app.middleware.tracing._format_traceparent,function,app/middleware/tracing.py,86
app.middleware.tracing._generate_span_id,function,app/middleware/tracing.py,66
app.middleware.tracing._generate_trace_id,function,app/middleware/tracing.py,61
app.middleware.tracing._parse_traceparent,function,app/middleware/tracing.py,71
app.middleware.tracing.clear_llm_context,function,app/middleware/tracing.py,426
app.middleware.tracing.dispatch,function,app/middleware/tracing.py,176
app.middleware.tracing.generate_correlation_id,function,app/middleware/tracing.py,117
app.middleware.tracing.get_correlation_id,function,app/middleware/tracing.py,92
app.middleware.tracing.get_llm_course_id,function,app/middleware/tracing.py,296
app.middleware.tracing.get_llm_creator_id,function,app/middleware/tracing.py,276
app.middleware.tracing.get_llm_operation_type,function,app/middleware/tracing.py,316
app.middleware.tracing.get_llm_project_id,function,app/middleware/tracing.py,345
app.middleware.tracing.get_llm_session_id,function,app/middleware/tracing.py,286
app.middleware.tracing.get_llm_user_id,function,app/middleware/tracing.py,306
app.middleware.tracing.get_llm_variant_id,function,app/middleware/tracing.py,355
app.middleware.tracing.get_span_id,function,app/middleware/tracing.py,132
app.middleware.tracing.get_trace_headers,function,app/middleware/tracing.py,137
app.middleware.tracing.get_trace_id,function,app/middleware/tracing.py,127
app.middleware.tracing.set_correlation_id,function,app/middleware/tracing.py,107
app.middleware.tracing.set_llm_context,function,app/middleware/tracing.py,365
app.middleware.tracing.set_llm_course_id,function,app/middleware/tracing.py,301
app.middleware.tracing.set_llm_creator_id,function,app/middleware/tracing.py,281
app.middleware.tracing.set_llm_operation_type,function,app/middleware/tracing.py,321
app.middleware.tracing.set_llm_project_id,function,app/middleware/tracing.py,350
app.middleware.tracing.set_llm_session_id,function,app/middleware/tracing.py,291
app.middleware.tracing.set_llm_user_id,function,app/middleware/tracing.py,311
app.middleware.tracing.set_llm_variant_id,function,app/middleware/tracing.py,360
app.models,module,app/models/__init__.py,0
app.models.bible,module,app/models/bible.py,0
app.models.bible.CourseBible,class,app/models/bible.py,71
app.models.bible.ExerciseRecord,class,app/models/bible.py,113
app.models.bible.ModuleExercisePlan,class,app/models/bible.py,42
app.models.bible.ModuleSkills,class,app/models/bible.py,33
app.models.bible.RecurringCharacter,class,app/models/bible.py,53
app.models.bible.SkillRecord,class,app/models/bible.py,105
app.models.bible.SkillRegistry,class,app/models/bible.py,126
app.models.bible.TermEntry,class,app/models/bible.py,23
app.models.bible.get_exercise_plan_for_module,function,app/models/bible.py,92
app.models.bible.get_skills_for_module,function,app/models/bible.py,88
app.models.bible.get_terms_for_module,function,app/models/bible.py,84
app.models.bible.render_context_for_module,function,app/models/bible.py,138
app.models.course,module,app/models/course.py,0
app.models.course.CaseStudy,class,app/models/course.py,148
app.models.course.ChallengingExercise,class,app/models/course.py,102
app.models.course.ComprehensionQuestion,class,app/models/course.py,178
app.models.course.Config,class,app/models/course.py,240
app.models.course.CourseCreationInput,class,app/models/course.py,16
app.models.course.CourseOutline,class,app/models/course.py,226
app.models.course.Exercise,class,app/models/course.py,268
app.models.course.ExpectedImpact,class,app/models/course.py,135
app.models.course.GenerationProgressEvent,class,app/models/course.py,405
app.models.course.GenerationResult,class,app/models/course.py,420
app.models.course.GuidedExercise,class,app/models/course.py,62
app.models.course.Lesson,class,app/models/course.py,288
app.models.course.Module,class,app/models/course.py,358
app.models.course.ModuleOutline,class,app/models/course.py,202
app.models.course.NextSteps,class,app/models/course.py,185
app.models.course.OutlineGenerationResponse,class,app/models/course.py,393
app.models.course.PedagogyFocus,class,app/models/course.py,36
app.models.course.SemiGuidedExercise,class,app/models/course.py,82
app.models.course.TokenUsage,class,app/models/course.py,350
app.models.enrichment_v1,module,app/models/enrichment_v1.py,0
app.models.enrichment_v1.CourseEnrichmentSummary,class,app/models/enrichment_v1.py,48
app.models.enrichment_v1.EnrichLessonRequest,class,app/models/enrichment_v1.py,8
app.models.enrichment_v1.EnrichLessonResponse,class,app/models/enrichment_v1.py,25
app.models.enrichment_v1.ObjectivesResult,class,app/models/enrichment_v1.py,38
app.models.enrichment_v1.TokenUsage,class,app/models/enrichment_v1.py,16
app.models.enrichment_v1.total,function,app/models/enrichment_v1.py,21
